Seed,ID,Energy,Angle(deg),Impact(km),Ground(km),Triggered,Angle(deg),Impact(km),Ground(km),Cherenkov,Angle(deg),Impact(km),Ground(km)
1,139,9.20311e+19,141.581878,57.698403,92.349267,1,64.748905,19.528853,21.784437,1,174.959857,62.910429,711.544970
1,140,1.1689e+20,164.467573,56.442791,209.137573,1,24.875637,3.192631,8.580176,0,0,0,0
1,141,4.78844e+19,84.586736,42.438437,42.669648,1,74.233743,34.396040,35.859433,1,81.924581,40.207248,40.670518
1,142,3.23419e+19,90.889875,20.316677,20.316853,1,88.078064,19.278465,19.306887,1,89.800737,19.822986,19.828533
1,143,5.83301e+19,94.788401,21.380961,21.426070,1,93.629627,21.025475,21.046160,1,96.344679,21.805944,21.899499
1,144,7.71057e+20,107.893351,44.950720,47.103976,1,92.589805,36.586522,36.607578,1,112.693654,47.284272,51.081138
1,145,4.41547e+20,84.421716,13.492908,13.602238,1,74.324401,10.775224,11.311160,0,0,0,0
1,146,6.98202e+20,68.461804,52.431359,56.526733,1,57.191558,37.798104,45.231441,0,0,0,0
1,147,5.84839e+20,78.877990,11.847342,12.159439,1,78.768776,11.831305,12.148437,1,78.322133,11.820218,12.159429
1,148,5.91236e+20,132.894749,53.527899,72.655697,1,70.956313,22.478264,23.935922,0,0,0,0
1,149,8.26547e+20,87.529729,47.687964,47.751354,1,84.359959,45.106650,45.367551,1,90.842218,50.316238,50.317371
1,150,9.21732e+19,92.217993,36.687144,36.701104,1,76.497483,27.709730,28.598390,1,92.667773,36.852390,36.875606
1,151,2.38072e+19,58.923446,4.574604,5.596877,1,59.521018,4.641104,5.635221,1,58.559133,4.744318,5.819400
1,152,7.68605e+20,87.707815,52.722400,52.782161,1,74.390933,40.350440,42.009293,1,164.661730,99.841791,375.989821
1,153,1.1675e+20,87.977130,33.432710,33.470995,1,91.679709,35.311923,35.317304,1,82.687416,30.508052,30.814820
1,154,3.54161e+18,91.232210,10.111203,10.112860,1,81.151095,8.246720,8.417932,0,0,0,0
1,155,9.50288e+20,89.921321,56.259969,56.263697,1,37.376116,12.214505,20.867852,1,91.746276,57.422749,57.434995
1,156,6.83035e+20,62.497996,15.658892,17.868531,1,61.637325,15.170034,17.461995,1,61.221119,15.203438,17.572208
1,157,1.72896e+20,101.894570,54.687267,55.804401,1,73.813380,33.334543,34.828963,1,104.106644,55.626340,57.256816
