Seed,ID,Energy,Angle(deg),Impact(km),Ground(km),Triggered,Angle(deg),Impact(km),Ground(km),Cherenkov,Angle(deg),Impact(km),Ground(km)
7,176,1.60561e+20,138.958158,38.787608,58.825954,1,85.479601,21.337466,21.422096,1,131.312810,36.475873,48.373986
7,177,1.24016e+20,75.165239,33.299848,34.501648,1,72.000050,31.022376,32.684481,1,82.439166,38.145568,38.507207
7,178,5.64922e+19,71.724619,19.148635,20.237194,1,70.072349,18.438019,19.690600,1,75.966955,20.881830,21.578414
7,179,2.90011e+19,147.738280,28.498883,53.057382,1,33.522126,2.844941,5.472262,0,0,0,0
7,180,4.31736e+19,96.516724,18.642125,18.741203,1,94.239818,18.024608,18.060123,1,95.826035,18.412452,18.488397
7,181,6.83017e+19,112.294226,28.895483,31.112079,1,114.693092,29.655052,32.506973,0,0,0,0
7,182,2.40257e+20,90.519368,37.824861,37.825130,1,80.793719,31.895690,32.344994,1,94.545386,40.080712,40.191743
7,183,3.29684e+20,37.110547,32.779190,54.681084,1,36.889340,32.562815,54.602602,0,0,0,0
7,184,3.85417e+19,126.671379,31.952631,39.688820,1,111.037331,27.599609,29.494205,1,128.405308,32.235934,40.978023
7,185,3.38735e+19,80.504034,32.764647,33.254207,1,33.759659,6.541175,12.073992,0,0,0,0
7,186,6.27177e+18,91.372576,15.396135,15.397059,1,90.437836,15.194643,15.194875,1,95.086924,16.243966,16.291611
7,187,2.08072e+19,124.316899,20.598323,24.725049,1,113.169672,18.625903,20.128411,0,0,0,0
7,188,1.83278e+20,42.162409,30.531820,45.710372,1,40.794510,28.932243,44.518342,1,51.655793,42.471465,54.312894
7,189,8.80074e+18,93.912129,17.124406,17.151841,1,90.439085,16.172736,16.172919,1,98.113297,18.039287,18.194144
7,190,2.05691e+20,90.934078,20.924102,20.924573,1,84.590427,18.483107,18.585893,0,0,0,0
7,191,1.46924e+19,42.614431,7.618765,11.483558,1,41.025415,7.135557,11.114845,1,45.009202,8.428909,12.130682
7,192,9.88883e+20,116.970661,20.306053,22.683058,1,118.890118,20.554619,23.366658,1,121.230799,20.882987,24.301507
7,193,1.03527e+20,124.490982,6.867682,7.892908,1,163.313358,0.361818,1.150570,0,0,0,0
7,194,2.22483e+19,88.967084,33.499234,33.508907,1,73.926667,24.734737,25.799714,1,135.755292,55.040058,78.678939
7,195,1.36005e+19,86.425704,28.000084,28.069072,1,96.836217,32.736195,32.945270,1,94.065017,31.433429,31.498016
